country,gdesc,kdp_1mo,kdp_3mo,kdp_6mo,kdp_1yr,kdp_2yr,kdp_3yr,kdp_4yr,kdp_5yr,kdp_7yr,kdp_10yr,Cluster
IRL,Financials,0.0074486006993007,0.007712933146853147,0.008183844573426573,0.008889333146853147,0.009494491944055944,0.00966161358041958,0.009695270307692308,0.009644506517482518,0.009538869776223776,0.009405126951048951,1
IRL,Health Care,0.009804080325159914,0.00994339788379531,0.010161199013859276,0.010548831364605544,0.011118065538379532,0.011438513011727078,0.011605803374200427,0.011669580586353945,0.011700363230277186,0.011612708576759062,1
IRL,Industrials,0.00332953175888177,0.003573011904484566,0.003921056336633664,0.0045432527489807795,0.00548424089691322,0.00605314316249272,0.006454452352941176,0.006731304205008736,0.007113713016889924,0.007383316627839255,1
IRL,Info Tech,0.0013177969120654397,0.0015496606748466259,0.0018802371983640083,0.002581572372188139,0.0038848542740286297,0.004778105991820041,0.005445607341513292,0.005943498486707567,0.0066348239877300616,0.007148454703476482,1
IRL,Materials,0.005564499315300085,0.0059693890025359275,0.0065057067286559585,0.007515006846999154,0.00907110720202874,0.009972211141166526,0.010522915646661031,0.010854280464919696,0.01122178212172443,0.01137645614539307,1
IRL,Real Estate,6.301642574257426e-4,7.246642904290429e-4,8.800247194719472e-4,0.0012500733333333331,0.002089034224422442,0.0026910793729372938,0.003182665577557756,0.0035692333333333334,0.00415606801980198,0.0046238372277227725,1
IRL,Utilities,0.015011226244541489,0.015145015327510915,0.015296519170305679,0.015355095065502183,0.01516506829694323,0.01495545131004367,0.01470905524017467,0.014441619563318778,0.014000132751091703,0.013505761834061136,2
ITA,Communications,0.006088267459826947,0.0064435659641532755,0.006979096365883808,0.007850973889575608,0.008817690556242274,0.009254463864853728,0.009481214027606098,0.009577011116604861,0.009658849884631232,0.009663705185414092,1
ITA,Cons Disc,0.005750477306853581,0.005976878052959504,0.00634507214330218,0.006974151658878504,0.0077709137102803735,0.008165738484423677,0.008399634383177569,0.008521938892523366,0.008667012993769471,0.008733555503115265,1
ITA,Cons Stap,0.0023459019607843137,0.0025460033394607844,0.0028611107965686275,0.0034612302818627454,0.0044293990808823526,0.005016217634803921,0.005440955042892157,0.005740335606617647,0.00616595412377451,0.006484472708333334,1
ITA,Energy,0.014897781,0.014590399153846153,0.014358327025641026,0.013973839743589744,0.013388073615384615,0.012914888948717949,0.012514125833333332,0.01214276385897436,0.011608995192307693,0.011095717102564103,2
ITA,Financials,0.006394354778218534,0.006667770773530472,0.0071473158925351625,0.007905385209159751,0.008665804588892897,0.008946513588171655,0.00906777958168049,0.009086675939415796,0.009078621602957087,0.009024750077533358,1
ITA,Health Care,0.0020926525623700624,0.002329476413721413,0.0026917193347193347,0.003411364423076924,0.004600783154885655,0.005340666185031185,0.005870542494802495,0.006246548056133056,0.00676473867983368,0.007146692136174636,1
